WarehouseName,District,State,DistrictCSVpath
CW MANDI ADAMPUR-HIRED,Jalandhar,Punjab,data/Jalandhar.csv
CW MANOHARABAD,Medak,Telangana,data/Medak.csv
CW MANSA,Mansa,Punjab,data/Mansa.csv
CW MANSA-II HIRED,Mansa,Punjab,data/Mansa.csv
CW MARSHAGHAI,Kendrapara,Odisha,data/Kendrapara.csv
CW MATIGARA-SILIGURI,Darjeeling,West Bengal,data/Darjeeling.csv
CW MAUNATH BHANJAN,Mau,Uttar Pradesh,data/Mau.csv
CW MEDAK,Medak,Telangana,data/Medak.csv
CW MEHBUBNAGAR,Mahbubnagar,Telangana,data/Mahbubnagar.csv
CW MELLACHERUVU,Nellore,Andhra Pradesh,data/Nellore.csv
CW MEPZ,Chennai,Tamil Nadu,data/Chennai.csv
CW MILL ROAD,Hugli,West Bengal,data/Hugli.csv
CW MOGA-I,Moga,Punjab,data/Moga.csv
CW MOGA-II,Moga,Punjab,data/Moga.csv
CW MOGRA-TARAGAON,Chhatarpur,Madhya Pradesh,data/Chhatarpur.csv
CW MOKAMA,Patna,Bihar,data/Patna.csv
CW MOOLAPALAYAM,Coimbatore,Tamil Nadu,data/Coimbatore.csv
CW MORENA-I,Morena,Madhya Pradesh,data/Morena.csv
CW MORENA-II,Morena,Madhya Pradesh,data/Morena.csv
CW MUKTSAR,Muktsar,Punjab,data/Muktsar.csv
CW MUSALLAPUR,Begusarai,Bihar,data/Begusarai.csv
CW MUZAFFARNAGAR BD,Muzaffarnagar,Uttar Pradesh,data/Muzaffarnagar.csv
CW MUZAFFARNAGAR-I,Muzaffarnagar,Uttar Pradesh,data/Muzaffarnagar.csv
CW NABHA,Patiala,Punjab,data/Patiala.csv
CW NABHA BD,Patiala,Punjab,data/Patiala.csv
CW NADIAD,Kheda,Gujarat,data/Kheda.csv
CW NAGPUR,Nagpur,Maharashtra,data/Nagpur.csv
CW NAINI,Prayagraj,Uttar Pradesh,data/Prayagraj.csv
CW NAMAKKAL,Namakkal,Tamil Nadu,data/Namakkal.csv
