WarehouseName,District,State,DistrictCSVpath
HYDERABAD,data/Hyderabad.csv
INDORE-I,Indore,Madhya Pradesh,data/Indore.csv
INDORE-II,Indore,Madhya Pradesh,data/Indore.csv
INDORE-III,Indore,Madhya Pradesh,data/Indore.csv
INDORE-IV,Indore,Madhya Pradesh,data/Indore.csv
INDORE-V,Indore,Madhya Pradesh,data/Indore.csv
JAIPUR,data/Jaipur.csv
JAHANGIRABAD-I,Bulandshahr,Uttar Pradesh,data/Bulandshahr.csv
JAHANGIRABAD-II,Bulandshahr,Uttar Pradesh,data/Bulandshahr.csv
JAJPUR ROAD,Jajpur,Odisha,data/Jajpur.csv
JALNA-HIRED,Jalna,Maharashtra,data/Jalna.csv
JAMNAGAR,Jamnagar,Gujarat,data/Jamnagar.csv
JAMNAGAR - HIRED,Jamnagar,Gujarat,data/Jamnagar.csv
JANGAON,Jangaon,Telangana,data/Jangaon.csv
JEYPORE,Koraput,Odisha,data/Khammam.csv
JHANSI,Jhansi,Uttar Pradesh,data/Jhansi.csv
JODHPUR - HIRED,Jodhpur,Rajasthan,data/Jodhpur.csv
JONAI - HIRED,Dhemaji,Assam,data/Dhemaji.csv
JORHAT-I,Jorhat,Assam,data/Jorhat.csv
JORHAT-II,Jorhat,Assam,data/Jorhat.csv
KAITHAL,Kaithal,Haryana,data/Kaithal.csv
KAKINADA,East Godavari,Andhra Pradesh,data/Kakinada.csv
KANJIKODE -PALAKKAD,Palakkad,Kerala,data/Malappuram.csv
KARIMNAGAR I,Karimnagar,Telangana,data/Karimnagar.csv
KARIMNAGAR-II,Karimnagar,Telangana,data/Karimnagar.csv
KARNAL-I,Karnal,Haryana,data/Karnal.csv
KARNAL-III,Karnal,Haryana,data/Karnal.csv
KATIHAR,Katihar,Bihar,data/Katihar.csv
KHAGARIA,Khagaria,Bihar,data/Khagaria.csv
KHAMMAM- HIRED,Khammam,Telangana,data/Khammam.csv
KHANDWA-I,Khandwa,Madhya Pradesh,data/Khandwa.csv
KINATHUKADAVU-HIRED NAFED,Coimbatore,Tamil Nadu,data/Coimbatore.csv
KIRUGAVALU-HIRED,Mandya,Karnataka,data/Mandya.csv
KISHANGANJ,Kishanganj,Bihar,data/Kishanganj.csv
KOLHAPUR-I,Kolhapur,Maharashtra,data/Kolhapur.csv
KOLHAPUR-II,Kolhapur,Maharashtra,data/Kolhapur.csv
KOTA I,Kota,Rajasthan,data/Kota.csv
KOTA II,Kota,Rajasthan,data/Kota.csv
KOTA-III,Kota,Rajasthan,data/Kota.csv
KUNDLI,Sonipat,Haryana,data/Hisar.csv
LUCKNOW-I,Lucknow,Uttar Pradesh,data/Lucknow.csv
LUCKNOW-II,Lucknow,Uttar Pradesh,data/Lucknow.csv
LUDHIANA,Ludhiana,Punjab,data/Ludhiana.csv
MACHENAHALLI-HIRED,Tumakuru,Karnataka,data/Hassan.csv
MADHEPURA,Madhepura,Bihar,data/Madhepura.csv
MADHIRA- HIRED CCI,Khammam,Telangana,data/Khammam.csv
MADURAI-I,Madurai,Tamil Nadu,data/Madurai.csv
MADURAI-II,Madurai,Tamil Nadu,data/Madurai.csv
MALDA,Malda,West Bengal,data/Malda.csv
MANDI,Mandi,Himachal Pradesh,data/Mandi.csv
MANSA,Mansa,Punjab,data/Mansa.csv
MANSA-II HIRED,Mansa,Punjab,data/Mansa.csv
MAUNATH BHANJAN,Mau,Uttar Pradesh,data/Mau.csv
MEDAK,Medak,Telangana,data/Medak.csv
MEHBUBNAGAR,Mahabubnagar,Telangana,data/Mahbubnagar.csv
MOGA-I,Moga,Punjab,data/Moga.csv
MOGA-II,Moga,Punjab,data/Moga.csv
MORENA-I,Morena,Madhya Pradesh,data/Morena.csv
MORENA-II,Morena,Madhya Pradesh,data/Morena.csv
MUKTSAR,Muktsar,Punjab,data/Muktsar.csv
MUNGER,Munger,Bihar,data/Patna.csv
MUSALLAPUR,Muzaffarnagar,Uttar Pradesh,data/Muzaffarnagar.csv
MUZAFFARNAGAR BD,Muzaffarnagar,Uttar Pradesh,data/Muzaffarnagar.csv
MUZAFFARNAGAR-I,Muzaffarnagar,Uttar Pradesh,data/Muzaffarnagar.csv
NADIAD,Kheda,Gujarat,data/Kheda.csv
NAGPUR,Nagpur,Maharashtra,data/Nagpur.csv
NAINI,Prayagraj,Uttar Pradesh,data/Prayagraj.csv
NAMAKKAL-HIRED NAFED,Namakkal,Tamil Nadu,data/Namakkal.csv
